监测日期,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2020-01-12,监测点A,9.0,36.0,36.0,13.0,61.0,1.1
2020-01-13,监测点A,12.0,64.0,61.0,32.0,47.0,1.2
2020-01-14,监测点A,11.0,69.0,80.0,47.0,101.0,1.1
2020-01-16,监测点A,10.0,42.0,58.0,34.0,88.0,0.7
2020-01-17,监测点A,9.0,32.0,26.0,11.0,40.0,1.1
2020-01-18,监测点A,12.0,38.0,40.0,24.0,63.0,1.0
2020-01-19,监测点A,10.0,36.0,43.0,25.0,19.0,1.0
2020-01-20,监测点A,9.0,34.0,36.0,21.0,54.0,0.9
2020-01-21,监测点A,7.0,40.0,50.0,32.0,112.0,0.9
2020-01-22,监测点A,8.0,23.0,45.0,31.0,128.0,0.8
2020-01-23,监测点A,8.0,18.0,34.0,24.0,99.0,0.7
2020-01-24,监测点A,8.0,14.0,28.0,19.0,85.0,0.6
2020-01-25,监测点A,8.0,11.0,34.0,23.0,49.0,0.9
2020-01-26,监测点A,7.0,8.0,11.0,6.0,39.0,1.0
2020-01-27,监测点A,7.0,8.0,11.0,5.0,58.0,0.7
2020-01-28,监测点A,7.0,7.0,14.0,7.0,76.0,0.6
2020-01-29,监测点A,7.0,8.0,24.0,17.0,90.0,0.6
2020-01-30,监测点A,8.0,10.0,30.0,23.0,110.0,0.5
2020-01-31,监测点A,10.0,19.0,38.0,29.0,120.0,0.5
2020-02-01,监测点A,9.0,21.0,41.0,30.0,116.0,0.5
2020-02-02,监测点A,10.0,20.0,46.0,32.0,101.0,0.5
2020-02-03,监测点A,8.0,25.0,49.0,42.0,56.0,0.6
2020-02-04,监测点A,5.0,10.0,11.0,6.0,36.0,0.6
2020-02-05,监测点A,6.0,13.0,17.0,11.0,30.0,0.7
2020-02-06,监测点A,6.0,9.0,26.0,15.0,83.0,0.5
2020-02-07,监测点A,6.0,17.0,27.0,21.0,35.0,0.7
2020-02-08,监测点A,6.0,7.0,15.0,8.0,59.0,0.6
2020-02-09,监测点A,6.0,7.0,18.0,13.0,81.0,0.6
2020-02-10,监测点A,8.0,16.0,28.0,22.0,44.0,0.7
2020-02-11,监测点A,6.0,33.0,55.0,48.0,54.0,0.8
2020-02-12,监测点A,7.0,24.0,63.0,56.0,66.0,0.8
2020-02-13,监测点A,6.0,25.0,25.0,23.0,59.0,0.7
2020-02-14,监测点A,6.0,22.0,18.0,12.0,44.0,0.6
2020-02-15,监测点A,5.0,15.0,18.0,12.0,40.0,0.7
2020-02-16,监测点A,5.0,4.0,5.0,3.0,49.0,0.7
2020-02-17,监测点A,5.0,8.0,19.0,9.0,86.0,0.6
2020-02-18,监测点A,6.0,17.0,24.0,15.0,102.0,0.5
2020-02-19,监测点A,6.0,38.0,39.0,28.0,103.0,0.6
2020-02-20,监测点A,7.0,34.0,35.0,26.0,85.0,0.6
2020-02-21,监测点A,6.0,36.0,34.0,22.0,98.0,0.6
2020-02-22,监测点A,8.0,35.0,52.0,41.0,140.0,0.8
2020-02-23,监测点A,8.0,18.0,37.0,26.0,135.0,0.6
2020-02-24,监测点A,8.0,15.0,47.0,25.0,101.0,0.6
2020-02-25,监测点A,8.0,25.0,39.0,23.0,94.0,0.6
2020-02-26,监测点A,7.0,26.0,38.0,21.0,124.0,0.7
2020-02-27,监测点A,6.0,17.0,25.0,17.0,83.0,0.6
2020-02-28,监测点A,6.0,26.0,37.0,23.0,84.0,0.7
2020-02-29,监测点A,7.0,29.0,39.0,25.0,94.0,0.7
2020-03-01,监测点A,8.0,18.0,35.0,22.0,92.0,0.7
2020-03-02,监测点A,8.0,24.0,30.0,18.0,74.0,0.7
2020-03-03,监测点A,6.0,25.0,34.0,18.0,73.0,0.6
2020-03-04,监测点A,5.0,28.0,13.0,10.0,46.0,0.7
2020-03-05,监测点A,6.0,30.0,25.0,14.0,46.0,0.8
2020-03-06,监测点A,6.0,25.0,35.0,23.0,64.0,0.6
2020-03-07,监测点A,6.0,40.0,49.0,27.0,43.0,0.5
2020-03-08,监测点A,5.0,20.0,28.0,15.0,55.0,0.4
2020-03-09,监测点A,5.0,22.0,32.0,15.0,49.0,0.5
2020-03-10,监测点A,5.0,14.0,21.0,11.0,98.0,0.7
2020-03-11,监测点A,7.0,37.0,46.0,28.0,63.0,0.6
2020-03-12,监测点A,5.0,34.0,50.0,25.0,52.0,0.6
2020-03-13,监测点A,4.0,35.0,49.0,28.0,33.0,0.7
2020-03-14,监测点A,4.0,16.0,35.0,20.0,109.0,0.7
2020-03-15,监测点A,6.0,25.0,61.0,38.0,135.0,0.6
2020-03-16,监测点A,5.0,26.0,56.0,27.0,110.0,0.5
2020-03-17,监测点A,6.0,44.0,62.0,29.0,65.0,0.5
2020-03-18,监测点A,6.0,59.0,51.0,34.0,52.0,0.7
2020-03-19,监测点A,5.0,56.0,36.0,25.0,31.0,0.7
2020-03-20,监测点A,7.0,61.0,54.0,40.0,18.0,0.8
2020-03-21,监测点A,4.0,29.0,40.0,26.0,43.0,0.7
2020-03-22,监测点A,6.0,25.0,44.0,25.0,88.0,0.6
2020-03-23,监测点A,6.0,25.0,40.0,22.0,96.0,0.7
2020-03-24,监测点A,4.0,25.0,45.0,25.0,93.0,0.6
2020-03-25,监测点A,4.0,19.0,40.0,19.0,83.0,0.5
2020-03-26,监测点A,3.0,21.0,35.0,20.0,51.0,0.5
2020-03-27,监测点A,2.0,21.0,33.0,16.0,45.0,0.5
2020-03-28,监测点A,2.0,30.0,23.0,12.0,36.0,0.6
2020-03-29,监测点A,3.0,32.0,40.0,16.0,47.0,0.6
2020-03-30,监测点A,3.0,27.0,16.0,9.0,4.0,0.7
2020-03-31,监测点A,4.0,24.0,23.0,13.0,2.0,0.6
2020-04-01,监测点A,6.0,30.0,30.0,12.0,3.0,0.6
2020-04-02,监测点A,7.0,41.0,82.0,36.0,3.0,0.8
2020-04-03,监测点A,6.0,37.0,39.0,23.0,4.0,0.8
2020-04-04,监测点A,6.0,30.0,22.0,12.0,24.0,0.7
2020-04-05,监测点A,6.0,32.0,18.0,14.0,34.0,0.6
2020-04-06,监测点A,6.0,38.0,17.0,12.0,4.0,0.6
2020-04-07,监测点A,7.0,46.0,38.0,21.0,33.0,0.7
2020-04-08,监测点A,12.0,67.0,74.0,47.0,88.0,1.0
2020-04-09,监测点A,12.0,61.0,77.0,49.0,211.0,0.9
2020-04-10,监测点A,11.0,51.0,58.0,26.0,114.0,0.6
2020-04-11,监测点A,10.0,45.0,66.0,34.0,64.0,0.7
2020-04-12,监测点A,10.0,19.0,27.0,8.0,112.0,0.6
2020-04-13,监测点A,11.0,38.0,45.0,22.0,126.0,0.5
2020-04-14,监测点A,19.0,73.0,79.0,53.0,174.0,0.8
2020-04-15,监测点A,17.0,65.0,100.0,66.0,217.0,0.8
2020-04-16,监测点A,12.0,26.0,57.0,34.0,140.0,0.6
2020-04-17,监测点A,11.0,35.0,52.0,24.0,95.0,0.6
2020-04-18,监测点A,10.0,25.0,53.0,25.0,95.0,0.6
2020-04-19,监测点A,10.0,25.0,51.0,23.0,82.0,0.6
2020-04-20,监测点A,7.0,20.0,37.0,15.0,78.0,0.7
2020-04-21,监测点A,2.0,15.0,33.0,14.0,68.0,0.7
2020-04-22,监测点A,3.0,29.0,19.0,8.0,27.0,0.9
2020-04-23,监测点A,4.0,32.0,24.0,9.0,28.0,0.9
2020-04-24,监测点A,5.0,31.0,29.0,12.0,53.0,0.7
2020-04-25,监测点A,9.0,49.0,57.0,38.0,92.0,0.8
2020-04-26,监测点A,11.0,39.0,63.0,43.0,154.0,0.8
2020-04-27,监测点A,12.0,48.0,69.0,39.0,177.0,0.8
2020-04-28,监测点A,12.0,38.0,70.0,40.0,237.0,0.7
2020-04-29,监测点A,8.0,21.0,55.0,21.0,147.0,0.5
2020-04-30,监测点A,9.0,27.0,56.0,24.0,156.0,0.6
2020-05-01,监测点A,8.0,14.0,37.0,16.0,97.0,0.6
2020-05-02,监测点A,9.0,13.0,38.0,17.0,91.0,0.6
2020-05-03,监测点A,7.0,11.0,35.0,14.0,118.0,0.6
2020-05-04,监测点A,5.0,9.0,28.0,12.0,112.0,0.5
2020-05-05,监测点A,4.0,9.0,34.0,7.0,84.0,0.5
2020-05-06,监测点A,3.0,11.0,22.0,7.0,63.0,0.5
2020-05-07,监测点A,3.0,8.0,20.0,5.0,56.0,0.5
2020-05-08,监测点A,3.0,8.0,18.0,4.0,51.0,0.5
2020-05-09,监测点A,2.0,11.0,23.0,6.0,59.0,0.5
2020-05-10,监测点A,2.0,17.0,25.0,8.0,86.0,0.6
2020-05-11,监测点A,3.0,40.0,44.0,23.0,159.0,0.8
2020-05-12,监测点A,3.0,29.0,41.0,21.0,118.0,0.9
2020-05-14,监测点A,2.0,18.0,41.0,22.0,87.0,0.7
2020-05-15,监测点A,2.0,13.0,34.0,13.0,85.0,0.7
2020-05-16,监测点A,3.0,21.0,32.0,11.0,104.0,0.6
2020-05-17,监测点A,2.0,27.0,34.0,18.0,120.0,0.7
2020-05-18,监测点A,4.0,32.0,32.0,16.0,104.0,0.8
2020-05-19,监测点A,5.0,35.0,42.0,24.0,191.0,0.8
2020-05-20,监测点A,4.0,28.0,28.0,15.0,75.0,0.6
2020-05-21,监测点A,3.0,28.0,29.0,16.0,94.0,0.7
2020-05-23,监测点A,6.0,37.0,38.0,20.0,146.0,0.8
2020-05-24,监测点A,6.0,30.0,32.0,16.0,84.0,0.7
2020-05-25,监测点A,5.0,32.0,28.0,12.0,59.0,0.7
2020-05-26,监测点A,4.0,20.0,30.0,15.0,121.0,0.7
2020-05-27,监测点A,4.0,36.0,37.0,22.0,79.0,0.9
2020-05-28,监测点A,6.0,65.0,67.0,37.0,105.0,1.0
2020-05-29,监测点A,3.0,24.0,36.0,21.0,78.0,0.7
2020-05-30,监测点A,3.0,34.0,29.0,13.0,72.0,0.7
2020-05-31,监测点A,3.0,34.0,30.0,14.0,46.0,0.7
2020-06-01,监测点A,4.0,34.0,29.0,13.0,24.0,0.8
2020-06-02,监测点A,7.0,32.0,24.0,9.0,18.0,0.8
2020-06-03,监测点A,6.0,19.0,29.0,11.0,56.0,0.7
2020-06-04,监测点A,6.0,14.0,22.0,5.0,50.0,0.5
2020-06-05,监测点A,6.0,21.0,21.0,7.0,56.0,0.6
2020-06-06,监测点A,5.0,37.0,28.0,12.0,71.0,0.7
2020-06-07,监测点A,4.0,30.0,28.0,14.0,30.0,0.7
2020-06-08,监测点A,5.0,24.0,29.0,11.0,38.0,0.7
2020-06-09,监测点A,6.0,20.0,26.0,9.0,61.0,0.6
2020-06-10,监测点A,9.0,30.0,29.0,9.0,76.0,0.7
2020-06-11,监测点A,9.0,14.0,22.0,6.0,91.0,0.5
2020-06-12,监测点A,9.0,18.0,21.0,6.0,98.0,0.5
2020-06-13,监测点A,9.0,30.0,31.0,9.0,110.0,0.5
2020-06-14,监测点A,7.0,14.0,12.0,3.0,57.0,0.5
2020-06-15,监测点A,7.0,18.0,23.0,4.0,66.0,0.5
2020-06-16,监测点A,7.0,14.0,18.0,3.0,54.0,0.4
2020-06-17,监测点A,7.0,12.0,16.0,3.0,59.0,0.4
2020-06-18,监测点A,8.0,13.0,19.0,4.0,56.0,0.4
2020-06-19,监测点A,7.0,12.0,18.0,3.0,63.0,0.4
2020-06-20,监测点A,8.0,11.0,19.0,4.0,75.0,0.4
2020-06-21,监测点A,8.0,10.0,18.0,4.0,56.0,0.4
2020-06-22,监测点A,6.0,10.0,23.0,4.0,66.0,0.4
2020-06-23,监测点A,5.0,11.0,25.0,7.0,80.0,0.4
2020-06-24,监测点A,5.0,12.0,25.0,7.0,76.0,0.5
2020-06-25,监测点A,3.0,4.0,21.0,5.0,48.0,0.4
2020-06-26,监测点A,4.0,5.0,21.0,4.0,52.0,0.4
2020-06-27,监测点A,4.0,6.0,15.0,3.0,54.0,0.4
2020-06-28,监测点A,5.0,8.0,17.0,4.0,60.0,0.4
2020-06-29,监测点A,5.0,12.0,20.0,4.0,90.0,0.4
2020-06-30,监测点A,5.0,13.0,22.0,6.0,116.0,0.4
2020-07-01,监测点A,4.0,15.0,18.0,3.0,54.0,0.3
2020-07-02,监测点A,4.0,12.0,17.0,4.0,70.0,0.4
2020-07-03,监测点A,3.0,22.0,23.0,8.0,43.0,0.5
2020-07-04,监测点A,3.0,23.0,23.0,7.0,35.0,0.5
2020-07-05,监测点A,3.0,14.0,22.0,6.0,68.0,0.4
2020-07-06,监测点A,5.0,12.0,20.0,5.0,75.0,0.5
2020-07-07,监测点A,6.0,14.0,24.0,5.0,71.0,0.5
2020-07-08,监测点A,7.0,14.0,27.0,8.0,68.0,0.5
2020-07-09,监测点A,6.0,12.0,28.0,9.0,74.0,0.5
2020-07-10,监测点A,6.0,10.0,27.0,6.0,59.0,0.5
2020-07-11,监测点A,6.0,7.0,24.0,6.0,67.0,0.5
2020-07-12,监测点A,6.0,7.0,20.0,3.0,72.0,0.5
2020-07-13,监测点A,7.0,14.0,22.0,7.0,109.0,0.5
2020-07-14,监测点A,8.0,16.0,30.0,9.0,164.0,0.5
2020-07-15,监测点A,7.0,11.0,22.0,6.0,105.0,0.5
2020-07-16,监测点A,8.0,11.0,19.0,4.0,72.0,0.4
2020-07-17,监测点A,7.0,11.0,19.0,3.0,52.0,0.5
2020-07-18,监测点A,9.0,11.0,19.0,3.0,64.0,0.5
2020-07-19,监测点A,9.0,10.0,18.0,3.0,70.0,0.5
2020-07-20,监测点A,6.0,9.0,17.0,3.0,69.0,0.5
2020-07-21,监测点A,4.0,10.0,18.0,5.0,98.0,0.5
2020-07-22,监测点A,4.0,16.0,21.0,7.0,98.0,0.5
2020-07-23,监测点A,5.0,13.0,23.0,6.0,128.0,0.5
2020-07-24,监测点A,6.0,14.0,27.0,7.0,137.0,0.5
2020-07-25,监测点A,6.0,12.0,25.0,8.0,130.0,0.5
2020-07-26,监测点A,6.0,9.0,22.0,6.0,101.0,0.5
2020-07-28,监测点A,5.0,14.0,22.0,6.0,84.0,0.5
2020-07-29,监测点A,5.0,22.0,27.0,8.0,115.0,0.5
2020-07-30,监测点A,5.0,29.0,32.0,12.0,124.0,0.6
2020-07-31,监测点A,6.0,26.0,22.0,8.0,42.0,0.6
2020-08-01,监测点A,4.0,20.0,14.0,3.0,34.0,0.5
2020-08-03,监测点A,3.0,25.0,15.0,5.0,38.0,0.7
2020-08-04,监测点A,4.0,21.0,19.0,6.0,84.0,0.7
2020-08-05,监测点A,3.0,22.0,14.0,3.0,19.0,0.7
2020-08-06,监测点A,4.0,19.0,18.0,6.0,79.0,0.6
2020-08-07,监测点A,4.0,17.0,25.0,7.0,58.0,0.6
2020-08-08,监测点A,4.0,17.0,23.0,6.0,88.0,0.5
2020-08-09,监测点A,7.0,13.0,27.0,10.0,140.0,0.6
2020-08-10,监测点A,6.0,12.0,22.0,8.0,115.0,0.5
2020-08-11,监测点A,4.0,12.0,20.0,4.0,59.0,0.6
2020-08-12,监测点A,2.0,18.0,14.0,4.0,41.0,0.5
2020-08-13,监测点A,3.0,15.0,16.0,4.0,35.0,0.5
2020-08-14,监测点A,4.0,20.0,22.0,8.0,54.0,0.6
2020-08-15,监测点A,5.0,19.0,24.0,7.0,64.0,0.6
2020-08-16,监测点A,5.0,17.0,20.0,6.0,76.0,0.5
2020-08-18,监测点A,5.0,31.0,29.0,13.0,78.0,0.5
2020-08-19,监测点A,4.0,14.0,13.0,3.0,43.0,0.4
2020-08-20,监测点A,5.0,19.0,25.0,10.0,62.0,0.5
2020-08-21,监测点A,8.0,28.0,51.0,28.0,198.0,0.6
2020-08-22,监测点A,7.0,21.0,54.0,37.0,218.0,0.6
2020-08-23,监测点A,8.0,17.0,42.0,26.0,180.0,0.5
2020-08-24,监测点A,7.0,13.0,32.0,17.0,126.0,0.4
2020-08-25,监测点A,8.0,12.0,27.0,11.0,112.0,0.5
2020-08-26,监测点A,7.0,16.0,24.0,10.0,92.0,0.5
2020-08-27,监测点A,7.0,31.0,37.0,23.0,169.0,0.6
2020-08-28,监测点A,8.0,30.0,47.0,33.0,201.0,0.7
2020-08-29,监测点A,9.0,29.0,53.0,42.0,186.0,0.7
2020-08-30,监测点A,7.0,24.0,59.0,42.0,188.0,0.8
2020-08-31,监测点A,6.0,24.0,47.0,32.0,156.0,0.7
2020-09-01,监测点A,10.0,34.0,56.0,40.0,178.0,0.8
2020-09-02,监测点A,10.0,38.0,70.0,50.0,206.0,0.9
2020-09-03,监测点A,10.0,37.0,79.0,54.0,223.0,0.9
2020-09-04,监测点A,8.0,26.0,60.0,45.0,136.0,0.9
2020-09-05,监测点A,6.0,35.0,36.0,25.0,84.0,0.7
2020-09-06,监测点A,8.0,32.0,39.0,27.0,166.0,0.6
2020-09-07,监测点A,6.0,25.0,25.0,10.0,53.0,0.6
2020-09-08,监测点A,5.0,32.0,21.0,7.0,44.0,0.6
2020-09-09,监测点A,8.0,39.0,29.0,14.0,57.0,0.7
2020-09-10,监测点A,8.0,28.0,32.0,15.0,84.0,0.6
2020-09-11,监测点A,8.0,27.0,27.0,9.0,60.0,0.6
2020-09-12,监测点A,6.0,29.0,25.0,12.0,143.0,0.6
2020-09-13,监测点A,6.0,34.0,32.0,20.0,158.0,0.7
2020-09-14,监测点A,5.0,30.0,28.0,17.0,111.0,0.7
2020-09-15,监测点A,6.0,49.0,30.0,18.0,25.0,0.8
2020-09-16,监测点A,9.0,31.0,34.0,13.0,54.0,0.7
2020-09-17,监测点A,7.0,25.0,29.0,8.0,76.0,0.6
2020-09-18,监测点A,6.0,30.0,23.0,8.0,34.0,0.6
2020-09-19,监测点A,5.0,28.0,18.0,6.0,27.0,0.6
2020-09-20,监测点A,6.0,24.0,27.0,10.0,87.0,0.6
2020-09-21,监测点A,6.0,24.0,23.0,7.0,60.0,0.5
2020-09-22,监测点A,6.0,20.0,28.0,11.0,92.0,0.6
2020-09-23,监测点A,6.0,29.0,31.0,14.0,96.0,0.6
2020-09-24,监测点A,7.0,34.0,35.0,14.0,108.0,0.8
2020-09-25,监测点A,8.0,42.0,44.0,19.0,120.0,0.8
2020-09-26,监测点A,7.0,48.0,43.0,29.0,90.0,0.7
2020-09-27,监测点A,7.0,47.0,39.0,20.0,50.0,0.8
2020-09-28,监测点A,8.0,51.0,51.0,28.0,115.0,0.7
2020-09-29,监测点A,10.0,44.0,53.0,31.0,118.0,0.8
2020-09-30,监测点A,8.0,33.0,34.0,19.0,106.0,0.7
2020-10-01,监测点A,8.0,18.0,27.0,13.0,138.0,0.6
2020-10-02,监测点A,8.0,14.0,37.0,18.0,155.0,0.5
2020-10-03,监测点A,6.0,25.0,40.0,18.0,125.0,0.6
2020-10-04,监测点A,6.0,24.0,51.0,30.0,182.0,0.7
2020-10-05,监测点A,6.0,26.0,43.0,23.0,65.0,0.8
2020-10-06,监测点A,5.0,24.0,33.0,13.0,80.0,0.7
2020-10-07,监测点A,5.0,19.0,26.0,11.0,72.0,0.6
2020-10-08,监测点A,5.0,19.0,26.0,10.0,70.0,0.6
2020-10-09,监测点A,7.0,22.0,41.0,22.0,109.0,0.6
2020-10-10,监测点A,8.0,39.0,56.0,29.0,151.0,0.6
2020-10-11,监测点A,9.0,50.0,66.0,36.0,174.0,0.7
