监测日期,地点,SO2监测浓度(μg/m³),NO2监测浓度(μg/m³),PM10监测浓度(μg/m³),PM2.5监测浓度(μg/m³),O3最大八小时滑动平均监测浓度(μg/m³),CO监测浓度(mg/m³)
2020-10-12,监测点A,10.0,43.0,64.0,34.0,154.0,0.6
2020-10-13,监测点A,9.0,34.0,53.0,25.0,76.0,0.6
2020-10-14,监测点A,8.0,47.0,40.0,19.0,54.0,0.6
2020-10-15,监测点A,10.0,45.0,54.0,25.0,140.0,0.6
2020-10-16,监测点A,11.0,33.0,48.0,22.0,97.0,0.6
2020-10-17,监测点A,8.0,23.0,29.0,11.0,74.0,0.6
2020-10-18,监测点A,8.0,20.0,28.0,11.0,98.0,0.6
2020-10-19,监测点A,7.0,21.0,27.0,10.0,94.0,0.6
2020-10-20,监测点A,6.0,21.0,35.0,16.0,115.0,0.6
2020-10-21,监测点A,8.0,21.0,37.0,18.0,100.0,0.6
2020-10-22,监测点A,8.0,22.0,38.0,15.0,96.0,0.6
2020-10-23,监测点A,10.0,39.0,71.0,26.0,108.0,0.6
2020-10-24,监测点A,11.0,42.0,72.0,25.0,104.0,0.5
2020-10-25,监测点A,16.0,64.0,86.0,34.0,169.0,0.7
2020-10-26,监测点A,11.0,73.0,85.0,41.0,188.0,0.8
2020-10-27,监测点A,10.0,66.0,81.0,45.0,166.0,0.8
2020-10-28,监测点A,9.0,67.0,78.0,43.0,92.0,0.9
2020-10-29,监测点A,5.0,48.0,49.0,43.0,53.0,0.9
2020-10-30,监测点A,6.0,44.0,54.0,39.0,61.0,0.9
2020-10-31,监测点A,10.0,54.0,71.0,49.0,126.0,0.9
2020-11-01,监测点A,10.0,56.0,81.0,51.0,190.0,1.0
2020-11-02,监测点A,7.0,42.0,69.0,47.0,124.0,0.9
2020-11-03,监测点A,6.0,26.0,43.0,23.0,101.0,0.8
2020-11-04,监测点A,10.0,52.0,78.0,45.0,105.0,0.9
2020-11-05,监测点A,11.0,71.0,90.0,51.0,184.0,1.0
2020-11-06,监测点A,10.0,59.0,84.0,46.0,160.0,1.0
2020-11-07,监测点A,12.0,42.0,69.0,37.0,148.0,1.0
2020-11-08,监测点A,12.0,24.0,63.0,32.0,148.0,0.8
2020-11-09,监测点A,12.0,33.0,78.0,30.0,138.0,0.8
2020-11-10,监测点A,12.0,52.0,85.0,39.0,146.0,0.9
2020-11-11,监测点A,14.0,68.0,78.0,35.0,117.0,0.8
2020-11-12,监测点A,13.0,71.0,75.0,34.0,122.0,0.8
2020-11-13,监测点A,12.0,62.0,63.0,28.0,102.0,0.8
2020-11-14,监测点A,11.0,38.0,58.0,25.0,75.0,0.7
2020-11-15,监测点A,10.0,48.0,54.0,31.0,33.0,0.8
2020-11-16,监测点A,9.0,47.0,66.0,43.0,125.0,0.9
2020-11-17,监测点A,5.0,41.0,46.0,19.0,67.0,0.6
2020-11-18,监测点A,5.0,48.0,60.0,26.0,106.0,0.7
2020-11-19,监测点A,6.0,39.0,47.0,22.0,114.0,0.8
2020-11-20,监测点A,5.0,38.0,54.0,31.0,160.0,0.8
2020-11-22,监测点A,4.0,39.0,49.0,26.0,150.0,0.7
2020-11-23,监测点A,5.0,45.0,63.0,28.0,20.0,0.9
2020-11-24,监测点A,6.0,42.0,58.0,28.0,111.0,0.8
2020-11-25,监测点A,7.0,69.0,63.0,30.0,134.0,0.8
2020-11-26,监测点A,8.0,49.0,68.0,37.0,107.0,0.7
2020-11-27,监测点A,6.0,32.0,38.0,15.0,82.0,0.7
2020-11-28,监测点A,6.0,23.0,31.0,14.0,88.0,0.6
2020-11-29,监测点A,6.0,25.0,33.0,14.0,70.0,0.7
2020-11-30,监测点A,6.0,27.0,37.0,17.0,83.0,0.7
2020-12-01,监测点A,7.0,34.0,41.0,21.0,78.0,0.6
2020-12-02,监测点A,7.0,31.0,40.0,21.0,75.0,0.5
2020-12-03,监测点A,6.0,26.0,36.0,20.0,64.0,0.4
2020-12-04,监测点A,7.0,27.0,37.0,20.0,66.0,0.5
2020-12-05,监测点A,8.0,36.0,48.0,29.0,71.0,0.6
2020-12-06,监测点A,10.0,52.0,69.0,46.0,92.0,0.7
2020-12-07,监测点A,13.0,60.0,81.0,51.0,88.0,0.8
2020-12-08,监测点A,11.0,45.0,65.0,42.0,82.0,0.7
2020-12-09,监测点A,10.0,64.0,71.0,45.0,46.0,0.7
2020-12-10,监测点A,13.0,68.0,84.0,49.0,75.0,0.8
2020-12-11,监测点A,14.0,71.0,84.0,48.0,71.0,0.9
2020-12-12,监测点A,13.0,65.0,89.0,55.0,68.0,1.0
2020-12-13,监测点A,11.0,65.0,97.0,65.0,43.0,0.9
2020-12-14,监测点A,6.0,39.0,34.0,22.0,25.0,1.0
2020-12-15,监测点A,3.0,28.0,20.0,7.0,30.0,0.7
2020-12-16,监测点A,3.0,32.0,28.0,14.0,32.0,0.6
2020-12-17,监测点A,4.0,35.0,38.0,21.0,13.0,0.6
2020-12-18,监测点A,5.0,34.0,45.0,22.0,26.0,0.7
2020-12-19,监测点A,6.0,27.0,43.0,26.0,49.0,0.6
2020-12-20,监测点A,8.0,27.0,51.0,37.0,91.0,0.6
2020-12-21,监测点A,8.0,38.0,64.0,50.0,85.0,0.7
2020-12-22,监测点A,8.0,64.0,79.0,52.0,62.0,0.8
2020-12-23,监测点A,9.0,75.0,94.0,53.0,44.0,1.0
2020-12-24,监测点A,6.0,40.0,58.0,35.0,38.0,0.7
2020-12-25,监测点A,8.0,48.0,78.0,49.0,26.0,0.9
2020-12-27,监测点A,8.0,86.0,116.0,75.0,173.0,1.2
2020-12-28,监测点A,8.0,75.0,85.0,62.0,129.0,1.1
2021-01-02,监测点A,9.0,55.0,53.0,26.0,62.0,0.9
2021-01-03,监测点A,11.0,81.0,101.0,55.0,60.0,1.3
2021-01-04,监测点A,12.0,71.0,73.0,35.0,61.0,0.9
2021-01-05,监测点A,15.0,64.0,81.0,42.0,98.0,1.0
2021-01-06,监测点A,12.0,53.0,76.0,47.0,93.0,1.0
2021-01-07,监测点A,9.0,37.0,63.0,47.0,43.0,1.1
2021-01-08,监测点A,7.0,21.0,40.0,31.0,48.0,1.0
2021-01-09,监测点A,8.0,36.0,47.0,18.0,44.0,0.9
2021-01-10,监测点A,10.0,43.0,49.0,21.0,36.0,0.9
2021-01-11,监测点A,9.0,29.0,43.0,26.0,51.0,0.8
2021-01-12,监测点A,11.0,51.0,65.0,38.0,68.0,0.8
2021-01-13,监测点A,11.0,89.0,93.0,58.0,36.0,1.2
2021-01-14,监测点A,13.0,132.0,124.0,93.0,78.0,1.5
2021-01-15,监测点A,12.0,117.0,124.0,97.0,146.0,1.4
2021-01-16,监测点A,10.0,92.0,99.0,75.0,120.0,1.3
2021-01-17,监测点A,11.0,33.0,106.0,53.0,102.0,0.9
2021-01-18,监测点A,11.0,46.0,95.0,44.0,84.0,0.9
2021-01-19,监测点A,13.0,87.0,122.0,76.0,142.0,1.2
2021-01-20,监测点A,13.0,98.0,108.0,59.0,107.0,1.2
2021-01-21,监测点A,13.0,88.0,103.0,84.0,83.0,1.3
2021-01-22,监测点A,8.0,49.0,42.0,28.0,48.0,1.1
2021-01-23,监测点A,8.0,53.0,63.0,43.0,96.0,1.3
2021-01-24,监测点A,9.0,46.0,62.0,43.0,108.0,1.2
2021-01-25,监测点A,8.0,54.0,59.0,35.0,131.0,1.1
2021-01-26,监测点A,5.0,48.0,62.0,45.0,120.0,0.8
2021-01-27,监测点A,5.0,53.0,65.0,44.0,118.0,0.9
2021-01-28,监测点A,5.0,35.0,57.0,42.0,84.0,1.0
2021-01-29,监测点A,5.0,32.0,39.0,22.0,135.0,0.7
2021-01-30,监测点A,6.0,51.0,76.0,41.0,151.0,0.7
2021-01-31,监测点A,6.0,43.0,54.0,27.0,146.0,0.6
2021-02-01,监测点A,5.0,49.0,49.0,24.0,128.0,0.7
2021-02-02,监测点A,5.0,38.0,52.0,27.0,167.0,0.7
2021-02-03,监测点A,4.0,21.0,46.0,26.0,144.0,0.7
2021-02-04,监测点A,5.0,34.0,58.0,30.0,163.0,0.7
2021-02-05,监测点A,5.0,31.0,44.0,23.0,137.0,0.6
2021-02-06,监测点A,7.0,34.0,48.0,30.0,149.0,0.8
2021-02-07,监测点A,6.0,34.0,42.0,28.0,151.0,0.7
2021-02-08,监测点A,6.0,25.0,47.0,30.0,140.0,0.7
2021-02-09,监测点A,4.0,19.0,43.0,28.0,78.0,0.7
2021-02-10,监测点A,4.0,12.0,10.0,6.0,41.0,0.8
2021-02-11,监测点A,4.0,10.0,16.0,8.0,72.0,0.7
2021-02-12,监测点A,8.0,10.0,39.0,28.0,89.0,0.6
2021-02-13,监测点A,8.0,15.0,40.0,29.0,102.0,0.6
2021-02-14,监测点A,8.0,17.0,40.0,32.0,111.0,0.6
2021-02-15,监测点A,6.0,13.0,36.0,28.0,128.0,0.6
2021-02-16,监测点A,5.0,16.0,38.0,25.0,107.0,0.6
2021-02-17,监测点A,4.0,9.0,26.0,18.0,102.0,0.7
2021-02-18,监测点A,5.0,16.0,37.0,18.0,114.0,0.5
2021-02-19,监测点A,5.0,24.0,59.0,37.0,152.0,0.7
2021-02-20,监测点A,9.0,20.0,52.0,36.0,159.0,0.7
2021-02-21,监测点A,7.0,21.0,46.0,33.0,153.0,0.7
2021-02-22,监测点A,7.0,27.0,49.0,36.0,200.0,0.8
2021-02-23,监测点A,7.0,34.0,45.0,33.0,195.0,0.8
2021-02-24,监测点A,5.0,17.0,39.0,21.0,120.0,0.6
2021-02-25,监测点A,5.0,25.0,31.0,17.0,68.0,0.6
2021-02-26,监测点A,4.0,36.0,33.0,21.0,28.0,0.9
2021-02-27,监测点A,4.0,27.0,28.0,14.0,21.0,0.9
2021-02-28,监测点A,6.0,50.0,52.0,29.0,45.0,1.1
2021-03-01,监测点A,5.0,57.0,71.0,43.0,85.0,1.2
2021-03-02,监测点A,5.0,22.0,23.0,10.0,65.0,1.0
2021-03-03,监测点A,6.0,44.0,48.0,23.0,36.0,1.0
2021-03-04,监测点A,4.0,44.0,63.0,42.0,6.0,1.3
2021-03-05,监测点A,4.0,43.0,57.0,40.0,18.0,1.1
2021-03-06,监测点A,4.0,43.0,32.0,21.0,36.0,0.9
2021-03-07,监测点A,4.0,32.0,30.0,15.0,36.0,1.2
2021-03-08,监测点A,4.0,52.0,52.0,28.0,22.0,1.1
2021-03-09,监测点A,5.0,50.0,66.0,42.0,125.0,0.9
2021-03-10,监测点A,5.0,28.0,54.0,31.0,111.0,0.8
2021-03-11,监测点A,5.0,36.0,45.0,23.0,102.0,0.7
2021-03-12,监测点A,6.0,49.0,72.0,48.0,206.0,0.9
2021-03-13,监测点A,5.0,46.0,56.0,40.0,136.0,0.9
2021-03-14,监测点A,5.0,31.0,56.0,39.0,157.0,0.9
2021-03-15,监测点A,5.0,26.0,45.0,28.0,125.0,0.7
2021-03-16,监测点A,5.0,29.0,50.0,29.0,111.0,0.7
2021-03-17,监测点A,4.0,33.0,50.0,27.0,95.0,0.7
2021-03-18,监测点A,4.0,28.0,40.0,25.0,66.0,0.6
2021-03-19,监测点A,4.0,25.0,35.0,16.0,77.0,0.6
2021-03-21,监测点A,3.0,23.0,33.0,17.0,55.0,0.9
2021-03-22,监测点A,3.0,21.0,77.0,29.0,83.0,0.8
2021-03-23,监测点A,7.0,57.0,128.0,41.0,40.0,0.9
2021-03-24,监测点A,4.0,61.0,94.0,49.0,78.0,1.0
2021-03-25,监测点A,7.0,70.0,100.0,56.0,185.0,1.1
2021-03-26,监测点A,5.0,25.0,51.0,20.0,120.0,0.6
2021-03-27,监测点A,4.0,34.0,56.0,23.0,105.0,0.8
2021-03-28,监测点A,6.0,34.0,58.0,28.0,119.0,0.9
2021-03-29,监测点A,3.0,19.0,34.0,12.0,56.0,0.7
2021-03-30,监测点A,2.0,12.0,30.0,10.0,80.0,0.7
2021-03-31,监测点A,1.0,12.0,27.0,9.0,55.0,0.6
2021-04-01,监测点A,2.0,12.0,25.0,7.0,51.0,0.6
2021-04-02,监测点A,4.0,17.0,29.0,12.0,61.0,0.7
2021-04-03,监测点A,7.0,25.0,40.0,18.0,88.0,0.8
2021-04-04,监测点A,4.0,25.0,49.0,21.0,47.0,1.0
2021-04-05,监测点A,4.0,32.0,52.0,28.0,67.0,1.1
2021-04-06,监测点A,6.0,43.0,82.0,49.0,259.0,1.2
2021-04-07,监测点A,4.0,23.0,48.0,27.0,122.0,0.9
2021-04-08,监测点A,3.0,36.0,33.0,15.0,67.0,0.9
2021-04-09,监测点A,4.0,41.0,35.0,18.0,51.0,1.1
2021-04-10,监测点A,5.0,48.0,56.0,28.0,130.0,1.0
2021-04-11,监测点A,5.0,24.0,40.0,16.0,151.0,0.7
2021-04-12,监测点A,4.0,31.0,44.0,17.0,107.0,0.8
2021-04-13,监测点A,6.0,25.0,44.0,20.0,153.0,1.0
2021-04-14,监测点A,4.0,18.0,34.0,465.0,83.0,0.7
2021-04-15,监测点A,3.0,25.0,32.0,15.0,65.0,0.4
2021-04-16,监测点A,3.0,44.0,33.0,17.0,42.0,0.7
2021-04-17,监测点A,3.0,41.0,33.0,16.0,28.0,0.8
2021-04-18,监测点A,3.0,30.0,83.0,37.0,146.0,0.6
2021-04-19,监测点A,4.0,33.0,103.0,39.0,141.0,0.5
2021-04-20,监测点A,6.0,42.0,70.0,32.0,148.0,0.6
2021-04-21,监测点A,7.0,30.0,61.0,23.0,163.0,0.5
2021-04-22,监测点A,8.0,30.0,64.0,29.0,156.0,0.6
2021-04-23,监测点A,8.0,26.0,62.0,33.0,193.0,0.7
2021-04-24,监测点A,5.0,13.0,36.0,15.0,105.0,0.5
2021-04-25,监测点A,4.0,26.0,35.0,17.0,80.0,0.6
2021-04-26,监测点A,4.0,41.0,31.0,14.0,39.0,0.6
2021-04-27,监测点A,4.0,55.0,37.0,22.0,18.0,0.6
2021-04-28,监测点A,4.0,40.0,26.0,19.0,6.0,0.9
2021-04-29,监测点A,5.0,40.0,43.0,17.0,124.0,0.8
2021-04-30,监测点A,10.0,59.0,80.0,49.0,296.0,1.0
2021-05-01,监测点A,6.0,21.0,53.0,34.0,188.0,0.9
2021-05-02,监测点A,5.0,26.0,42.0,29.0,106.0,0.8
2021-05-03,监测点A,3.0,26.0,28.0,14.0,67.0,0.5
2021-05-04,监测点A,3.0,26.0,28.0,11.0,77.0,0.5
2021-05-05,监测点A,4.0,33.0,38.0,22.0,136.0,0.7
2021-05-06,监测点A,3.0,24.0,52.0,23.0,135.0,0.6
2021-05-07,监测点A,5.0,24.0,51.0,27.0,167.0,0.7
2021-05-08,监测点A,4.0,19.0,38.0,16.0,108.0,0.5
2021-05-09,监测点A,4.0,19.0,37.0,16.0,113.0,0.5
2021-05-10,监测点A,3.0,13.0,22.0,6.0,75.0,0.5
2021-05-11,监测点A,3.0,12.0,22.0,7.0,67.0,0.4
2021-05-12,监测点A,2.0,12.0,24.0,7.0,62.0,0.4
2021-05-13,监测点A,3.0,13.0,24.0,10.0,60.0,0.4
2021-05-14,监测点A,5.0,12.0,25.0,11.0,59.0,0.4
2021-05-15,监测点A,5.0,10.0,26.0,10.0,75.0,0.4
2021-05-16,监测点A,4.0,10.0,25.0,7.0,66.0,0.4
2021-05-17,监测点A,4.0,12.0,23.0,6.0,59.0,0.4
2021-05-18,监测点A,4.0,13.0,23.0,6.0,54.0,0.4
2021-05-19,监测点A,3.0,10.0,23.0,8.0,73.0,0.4
2021-05-20,监测点A,3.0,11.0,24.0,8.0,56.0,0.4
2021-05-21,监测点A,3.0,11.0,21.0,5.0,63.0,0.4
2021-05-22,监测点A,2.0,10.0,18.0,4.0,74.0,0.4
2021-05-23,监测点A,2.0,12.0,19.0,4.0,81.0,0.4
2021-05-24,监测点A,4.0,26.0,23.0,7.0,44.0,0.5
2021-05-25,监测点A,7.0,35.0,24.0,10.0,65.0,0.6
2021-05-26,监测点A,6.0,21.0,24.0,7.0,72.0,0.5
2021-05-27,监测点A,8.0,16.0,20.0,5.0,79.0,0.4
2021-05-28,监测点A,6.0,16.0,22.0,4.0,75.0,0.4
2021-05-29,监测点A,6.0,17.0,25.0,5.0,58.0,0.4
2021-05-30,监测点A,5.0,16.0,30.0,9.0,76.0,0.5
2021-05-31,监测点A,5.0,19.0,22.0,9.0,83.0,0.5
2021-06-01,监测点A,3.0,29.0,16.0,5.0,58.0,0.5
2021-06-02,监测点A,3.0,32.0,24.0,8.0,47.0,0.5
2021-06-03,监测点A,3.0,25.0,32.0,11.0,84.0,0.6
2021-06-04,监测点A,3.0,25.0,22.0,8.0,59.0,0.6
2021-06-05,监测点A,7.0,30.0,40.0,18.0,168.0,0.6
2021-06-06,监测点A,12.0,32.0,58.0,34.0,212.0,0.7
2021-06-07,监测点A,8.0,19.0,38.0,24.0,192.0,0.6
2021-06-08,监测点A,8.0,23.0,37.0,17.0,197.0,0.5
2021-06-09,监测点A,8.0,24.0,23.0,6.0,88.0,0.4
2021-06-10,监测点A,8.0,27.0,23.0,7.0,93.0,0.4
2021-06-11,监测点A,8.0,26.0,30.0,8.0,86.0,0.4
2021-06-12,监测点A,7.0,21.0,18.0,4.0,46.0,0.4
2021-06-13,监测点A,6.0,27.0,21.0,4.0,35.0,0.4
2021-06-14,监测点A,5.0,17.0,22.0,5.0,35.0,0.4
2021-06-15,监测点A,5.0,16.0,26.0,8.0,67.0,0.4
2021-06-16,监测点A,5.0,13.0,26.0,9.0,64.0,0.4
2021-06-17,监测点A,4.0,19.0,26.0,8.0,45.0,0.4
2021-06-18,监测点A,5.0,15.0,28.0,10.0,87.0,0.4
2021-06-19,监测点A,5.0,13.0,30.0,12.0,96.0,0.4
2021-06-20,监测点A,7.0,12.0,33.0,13.0,96.0,0.4
2021-06-21,监测点A,6.0,16.0,35.0,15.0,95.0,0.4
2021-06-22,监测点A,4.0,34.0,22.0,12.0,88.0,0.4
2021-06-23,监测点A,4.0,29.0,22.0,12.0,62.0,0.4
2021-06-24,监测点A,5.0,38.0,32.0,16.0,49.0,0.5
2021-06-25,监测点A,5.0,25.0,32.0,16.0,90.0,0.5
2021-06-26,监测点A,4.0,32.0,34.0,14.0,65.0,0.4
2021-06-27,监测点A,4.0,15.0,34.0,14.0,68.0,0.4
2021-06-28,监测点A,5.0,16.0,33.0,13.0,65.0,0.4
2021-06-29,监测点A,6.0,14.0,33.0,13.0,59.0,0.5
2021-06-30,监测点A,5.0,11.0,32.0,12.0,54.0,0.5
2021-07-01,监测点A,5.0,8.0,33.0,12.0,69.0,0.5
2021-07-02,监测点A,6.0,10.0,31.0,10.0,74.0,0.5
2021-07-03,监测点A,6.0,12.0,34.0,13.0,67.0,0.5
2021-07-04,监测点A,6.0,10.0,27.0,10.0,93.0,0.4
2021-07-05,监测点A,6.0,19.0,21.0,4.0,64.0,0.4
2021-07-06,监测点A,6.0,25.0,25.0,4.0,39.0,0.4
2021-07-07,监测点A,5.0,18.0,18.0,3.0,54.0,0.4
2021-07-08,监测点A,5.0,15.0,18.0,3.0,64.0,0.4
2021-07-09,监测点A,7.0,17.0,28.0,12.0,146.0,0.4
2021-07-10,监测点A,6.0,13.0,20.0,5.0,81.0,0.4
2021-07-11,监测点A,6.0,11.0,20.0,3.0,63.0,0.3
2021-07-12,监测点A,6.0,11.0,17.0,5.0,81.0,0.4
